iau,filename,type,redshift
2018bsz,2018bsz_92297.dat,SN II,0.026665
2018bsz,2018bsz_92298.dat,SN II,0.026665
2018bsz,2018bsz_92299.dat,SN II,0.026665
2019aayp,2019aayp_92261.ascii,SN Ia,0.044911023
2020bij,2020bij_91933.txt,SN II,0.013
2020bij,2020bij_91934.ascii,SN II,0.013
2020bij,2020bij_91935.ascii,SN II,0.013
2020bij,2020bij_91936.ascii,SN II,0.013
2020bij,2020bij_91937.ascii,SN II,0.013
2020bij,2020bij_91938.ascii,SN II,0.013
2020bij,2020bij_91939.ascii,SN II,0.013
2020bij,2020bij_91940.ascii,SN II,0.013
2021aatd,2021aatd_92074.ascii,SN II-pec,0.033
2021aatd,2021aatd_92076.ascii,SN II-pec,0.033
2021aatd,2021aatd_92077.ascii,SN II-pec,0.033
2021aatd,2021aatd_92078.ascii,SN II-pec,0.033
2021aatd,2021aatd_92079.ascii,SN II-pec,0.033
2021aatd,2021aatd_92080.ascii,SN II-pec,0.033
2021aatd,2021aatd_92081.ascii,SN II-pec,0.033
2021aatd,2021aatd_92082.ascii,SN II-pec,0.033
2021aatd,2021aatd_92083.ascii,SN II-pec,0.033
2021aatd,2021aatd_92084.ascii,SN II-pec,0.033
2021aatd,2021aatd_92085.ascii,SN II-pec,0.033
2021aatd,2021aatd_92086.txt,SN II-pec,0.033
2021vil,2021vil_92129.flm,SN Ia,0.0378
2021wvw,2021wvw_91946.ascii,SN II,0.0099
2021wvw,2021wvw_91947.ascii,SN II,0.0099
2021wvw,2021wvw_91948.ascii,SN II,0.0099
2021wvw,2021wvw_91949.ascii,SN II,0.0099
2021wvw,2021wvw_91950.ascii,SN II,0.0099
2021wvw,2021wvw_91951.ascii,SN II,0.0099
2021wvw,2021wvw_91952.ascii,SN II,0.0099
2021wvw,2021wvw_91953.ascii,SN II,0.0099
2021wvw,2021wvw_91954.ascii,SN II,0.0099
2021wvw,2021wvw_91955.ascii,SN II,0.0099
2021wvw,2021wvw_91956.ascii,SN II,0.0099
2021wvw,2021wvw_91957.ascii,SN II,0.0099
2021wvw,2021wvw_91958.ascii,SN II,0.0099
2021wvw,2021wvw_91959.ascii,SN II,0.0099
2021wvw,2021wvw_91960.ascii,SN II,0.0099
2021wvw,2021wvw_91961.ascii,SN II,0.0099
2021wvw,2021wvw_91962.ascii,SN II,0.0099
2022pda,2022pda_92138.txt,SN Ibn,0.062
2022pda,2022pda_92139.txt,SN Ibn,0.062
2022pda,2022pda_92140.txt,SN Ibn,0.062
2022pda,2022pda_92141.txt,SN Ibn,0.062
2022pda,2022pda_92142.txt,SN Ibn,0.062
2022pda,2022pda_92143.txt,SN Ibn,0.062
2022pda,2022pda_92144.txt,SN Ibn,0.062
2022pda,2022pda_92145.txt,SN Ibn,0.062
2022pda,2022pda_92146.txt,SN Ibn,0.062
2022pda,2022pda_92147.txt,SN Ibn,0.062
2022pda,2022pda_92148.txt,SN Ibn,0.062
2022pda,2022pda_92149.txt,SN Ibn,0.062
2022pda,2022pda_92150.txt,SN Ibn,0.062
2022pda,2022pda_92151.txt,SN Ibn,0.062
2022pda,2022pda_92152.txt,SN Ibn,0.062
2022pda,2022pda_92153.txt,SN Ibn,0.062
2022pda,2022pda_92154.txt,SN Ibn,0.062
2023usc,2023usc_92104.txt,SN IIn,0.06
2023usc,2023usc_92286.txt,SN IIn,0.06
2023usc,2023usc_92287.txt,SN IIn,0.06
2023vjh,2023vjh_92037.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92038.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92039.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92040.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92041.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92042.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92043.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92044.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92045.txt,SN Ia-91bg-like,0.019
2023vjh,2023vjh_92046.txt,SN Ia-91bg-like,0.019
